7SK
A1BG
A1BG-AS1
A2M
A2M-AS1
A2MP1
A4GALT
AAAS
AACS
AAED1
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARS
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATBC
AATF
AATK
AB019441.29
ABALON
ABAT
ABBA01017803.1
ABCA1
ABCA10
ABCA11P
ABCA13
ABCA17P
ABCA2
ABCA3
ABCA5
ABCA6
ABCA7
ABCA9
ABCB1
ABCB10
ABCB4
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC13
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14A-ACY1
ABHD14B
ABHD15
ABHD16A
ABHD16B
ABHD17A
ABHD17AP1
ABHD17AP6
ABHD17B
ABHD17C
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABT1
ABTB1
ABTB2
AC000032.2
AC000068.5
AC000078.5
AC000089.3
AC000120.7
AC000123.2
AC000123.3
AC000123.4
AC000403.4
AC002075.4
AC002116.8
AC002310.12
AC002310.14
AC002398.11
AC002398.13
AC002398.9
AC002467.7
AC002480.3
AC002480.5
AC002511.2
AC002511.3
AC002543.2
AC003075.4
AC003090.1
AC003104.1
AC003973.3
AC003991.3
AC004057.1
AC004067.5
AC004069.2
AC004076.5
AC004381.6
AC004447.2
AC004453.8
AC004471.10
AC004490.1
AC004540.4
AC004623.3
AC004754.3
AC004791.2
AC004878.2
AC004893.10
AC004893.11
AC004906.3
AC004951.5
AC004951.6
AC004980.11
AC004980.7
AC004985.12
AC004987.9
AC005037.3
AC005042.4
AC005062.2
AC005082.12
AC005154.6
AC005154.7
AC005224.2
AC005251.3
AC005253.2
AC005264.2
AC005306.3
AC005307.3
AC005329.7
AC005387.2
AC005387.3
AC005517.3
AC005519.4
AC005523.2
AC005538.3
AC005562.1
AC005606.14
AC005682.5
AC005682.6
AC005740.6
AC005785.2
AC005785.5
AC005786.7
AC005795.1
AC005822.1
AC005884.1
AC005944.2
AC006011.4
AC006014.8
AC006026.10
AC006077.3
AC006116.20
AC006128.2
AC006129.2
AC006129.3
AC006277.3
AC006369.2
AC006449.2
AC006538.1
AC006547.13
AC006547.14
AC006548.28
AC006942.4
AC006946.12
AC006946.15
AC006946.16
AC006978.6
AC006995.8
AC007000.10
AC007038.7
AC007040.11
AC007191.4
AC007192.6
AC007228.11
AC007228.9
AC007238.1
AC007246.3
AC007256.5
AC007272.3
AC007278.2
AC007278.3
AC007283.5
AC007292.3
AC007292.6
AC007308.6
AC007318.5
AC007383.3
AC007383.4
AC007386.2
AC007566.10
AC007620.3
AC007879.2
AC007879.7
AC007880.1
AC007950.1
AC007952.5
AC007952.6
AC007969.5
AC008074.1
AC008079.10
AC008132.13
AC008746.12
AC008753.4
AC008984.2
AC008984.7
AC008985.1
AC009005.2
AC009065.4
AC009095.4
AC009120.3
AC009120.5
AC009120.6
AC009133.12
AC009133.15
AC009133.17
AC009133.21
AC009133.22
AC009237.8
AC009245.3
AC009299.3
AC009303.2
AC009403.2
AC009404.2
AC009487.6
AC009495.2
AC009501.4
AC009505.2
AC009506.1
AC009948.5
AC009950.2
AC009961.3
AC010132.11
AC010150.1
AC010226.4
AC010240.2
AC010468.1
AC010525.4
AC010547.9
AC010642.1
AC010733.5
AC010761.8
AC010878.3
AC010883.5
AC010894.3
AC010976.2
AC011290.5
AC011330.13
AC011558.5
AC011737.2
AC011747.4
AC011816.1
AC011899.9
AC012074.2
AC012146.7
AC012314.8
AC012358.4
AC012358.8
AC012363.7
AC012513.4
AC013264.2
AC013437.2
AC013437.6
AC015688.3
AC015849.16
AC015849.19
AC015971.2
AC016700.5
AC016708.2
AC016722.4
AC016734.2
AC016735.2
AC016739.2
AC016747.3
AC016753.7
AC016757.3
AC016831.7
AC017002.1
AC017002.2
AC017035.2
AC017104.6
AC017116.11
AC018442.1
AC018462.3
AC018463.4
AC018755.16
AC018766.4
AC018890.6
AC019097.7
AC020571.3
AC020951.1
AC020956.3
AC021188.4
AC021224.1
AC022007.5
AC022154.7
AC022182.1
AC022182.2
AC022182.3
AC022210.2
AC022431.2
AC024560.3
AC024592.12
AC025048.1
AC025171.1
AC025335.1
AC026150.6
AC026150.8
AC026271.5
AC027601.1
AC027612.6
AC034220.3
AC037459.4
AC058791.1
AC062017.1
AC062029.1
AC067945.4
AC068039.4
AC068134.10
AC068282.3
AC068522.4
AC068580.6
AC068831.15
AC068831.6
AC069213.1
AC069282.6
AC069368.3
AC073046.25
AC073063.10
AC073254.1
AC073283.7
AC074117.10
AC074183.3
AC074212.5
AC074286.1
AC074289.1
AC078883.3
AC078899.1
AC079250.1
AC079325.6
AC079630.4
AC079767.4
AC079807.2
AC079922.2
AC079922.3
AC083843.1
AC083843.4
AC083873.4
AC083884.8
AC083899.3
AC084219.2
AC084219.3
AC087294.2
AC090587.2
AC090587.4
AC091729.9
AC091814.2
AC091814.3
AC091878.1
AC092066.1
AC092155.1
AC092171.2
AC092171.4
AC092299.1
AC092301.3
AC092580.4
AC092620.2
AC092620.3
AC092667.2
AC092670.1
AC092881.1
AC093162.5
AC093323.3
AC093495.4
AC093609.1
AC093616.4
AC093620.5
AC093627.10
AC093642.1
AC093642.3
AC093642.4
AC093642.5
AC093673.5
AC093690.1
AC093724.2
AC093818.1
AC093838.4
AC096558.1
AC096772.6
AC096921.2
AC097495.2
AC097523.1
AC097713.4
AC097724.3
AC098614.2
AC099850.1
AC100830.4
AC103563.8
AC103563.9
AC104389.1
AC104389.2
AC104532.4
AC104653.1
AC104809.2
AC104809.3
AC104809.4
AC104820.2
AC106801.1
AC107081.5
AC108004.3
AC108488.4
AC108938.5
AC109333.10
AC109826.1
AC110615.1
AC110781.3
AC112497.1
AC113189.5
AC114271.2
AC114730.11
AC114730.7
AC114752.3
AC115617.2
AC116366.5
AC116366.6
AC125232.1
AC127904.2
AC129492.1
AC129492.6
AC130469.1
AC131056.3
AC133528.2
AC133644.2
AC135048.13
AC137932.4
AC137932.6
AC137934.1
AC138035.2
AC138035.3
AC138969.4
AC139100.4
AC141586.5
AC142472.6
AC142528.1
AC144530.1
AC144652.1
AC144831.1
AC144831.3
AC145124.2
AC147651.4
AC159540.1
AC241377.2
AC241585.2
AC244230.1
AC245100.1
AC253572.1
ACAA1
ACAA2
ACACA
ACACB
ACAD10
ACAD11
ACAD8
ACAD9
ACADM
ACADS
ACADSB
ACADVL
ACAP1
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD4
ACBD5
ACCS
ACD
ACE
ACER1
ACER2
ACER3
ACHE
ACIN1
ACKR1
ACKR2
ACKR3
ACKR4
ACLY
ACN9
ACO1
ACO2
ACOT1
ACOT11
ACOT13
ACOT2
ACOT4
ACOT7
ACOT8
ACOT9
ACOX1
ACOX2
ACOX3
ACOXL
ACP1
ACP2
ACP5
ACP6
ACPP
ACRBP
ACRC
ACSBG1
ACSF2
ACSF3
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSM1
ACSM3
ACSS1
ACSS2
ACSS3
ACTA2
ACTA2-AS1
ACTB
ACTBP2
ACTBP8
ACTG1
ACTG1P10
ACTG1P14
ACTG1P4
ACTL10
ACTL6A
ACTN1
ACTN1-AS1
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR5
ACTR6
ACTR8
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVRL1
ACY1
ACY3
ACYP1
ACYP2
AD000092.3
AD000671.6
AD000684.2
AD000864.6
ADA
ADAL
ADAM10
ADAM11
ADAM12
ADAM15
ADAM17
ADAM19
ADAM1B
ADAM20P1
ADAM22
ADAM23
ADAM28
ADAM8
ADAM9
ADAMDEC1
ADAMTS1
ADAMTS10
ADAMTS13
ADAMTS14
ADAMTS17
ADAMTS2
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTS7P1
ADAMTS7P4
ADAMTSL2
ADAMTSL4
ADAMTSL4-AS1
ADAMTSL5
ADAP1
ADAP2
ADAR
ADARB1
ADARB2
ADAT1
ADAT2
ADAT3
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
ADCY1
ADCY10
ADCY10P1
ADCY3
ADCY4
ADCY5
ADCY6
ADCY7
ADCY9
ADD1
ADD2
ADD3
ADD3-AS1
ADH5
ADHFE1
ADI1
ADIPOR1
ADIPOR2
ADIRF
ADIRF-AS1
ADK
ADM
ADM2
ADM5
ADNP
ADNP-AS1
ADNP2
ADO
ADORA1
ADORA2A
ADORA2A-AS1
ADORA2B
ADORA3
ADPGK
ADPGK-AS1
ADPRH
ADPRHL1
ADPRHL2
ADPRM
ADRA2A
ADRB1
ADRB2
ADRBK1
ADRBK2
ADRM1
ADSL
ADSS
ADSSL1
ADTRP
AE000661.37
AEBP1
AEBP2
AEN
AES
AF001548.4
AF001548.5
AF001548.6
AF011889.2
AF127577.10
AF127936.9
AF129075.5
AF129408.17
AF131215.2
AF131215.3
AF131215.4
AF131215.9
AF131216.6
AF131217.1
AF196779.12
AF230666.2
AFAP1
AFAP1-AS1
AFAP1L1
AFAP1L2
AFF1
AFF2
AFF3
AFF4
AFG3L1P
AFG3L2
AFMID
AFTPH
AGA
AGAP1
AGAP10
AGAP11
AGAP2
AGAP2-AS1
AGAP3
AGAP4
AGAP5
AGAP6
AGAP7P
AGBL2
AGBL3
AGBL5
AGER
AGFG1
AGFG2
AGGF1
AGK
AGL
AGMAT
AGO1
AGO2
AGO3
AGO4
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPAT4-IT1
AGPAT5
AGPAT6
AGPAT9
AGPS
AGRN
AGRP
AGTPBP1
AGTRAP
AHCTF1
AHCY
AHCYL1
AHCYL2
AHDC1
AHI1
AHNAK
AHNAK2
AHR
AHRR
AHSA1
AHSA2
AHSP
AIDA
AIF1
AIF1L
AIFM1
AIFM2
AIFM3
AIG1
AIM1
AIM1L
AIM2
AIMP1
AIMP2
AIP
AIRE
AIRN
AJ003147.11
AJAP1
AJUBA
AK1
AK2
AK3
AK3P3
AK4
AK5
AK8
AK9
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP17A
AKAP2
AKAP3
AKAP5
AKAP6
AKAP7
AKAP8
AKAP8L
AKAP9
AKIP1
AKIRIN1
AKIRIN2
AKNA
AKR1A1
AKR1B1
AKR1C1
AKR1C2
AKR1C3
AKR1E2
AKR7A2
AKR7A3
AKR7L
AKT1
AKT1S1
AKT2
AKT3
AKTIP
AL022344.7
AL023806.1
AL078633.1
AL109927.1
AL133243.1
AL133243.2
AL133243.4
AL133245.2
AL133493.2
AL136419.6
AL158147.2
AL158801.1
AL162151.3
